Rg,Dmax,bond_mean,bond_min,bond_max,bond_std,CN,file,energy
6.7802063233072305,16.922750397786405,9.220882171126462,2.540582983335652,16.922750397786405,3.4378781693085325,1.5,78.xyz,-1530.908363
6.801337627795362,17.056287171248414,9.055307360340386,2.5344941819189106,17.056287171248414,3.9330004209136495,2.3,908.xyz,-1538.497324
5.4783773616559355,15.17834031764132,7.329784689840862,2.53061288,15.17834031764132,3.0836281478882857,1.9,635.xyz,-1538.870624
4.9848520894763695,12.502769817885744,6.783140880224968,2.5449435175516353,12.502769817885744,2.517042548820997,2.5,616.xyz,-1541.049554
5.630800406593404,13.99903858000002,7.639829282785527,2.53143573,13.99903858000002,2.9028693232955165,2.5,344.xyz,-1541.592041
5.428562527675509,13.98396302,7.292966182258076,2.53112048,13.98396302,2.983303499892243,2.5,317.xyz,-1541.630744
4.9062503960006145,15.726916550480913,6.5464411116667875,2.54040358,15.726916550480913,2.803906803811927,2.3,67.xyz,-1542.676778
5.482205475777054,16.442194686610648,7.241476750487278,2.520353200000016,16.442194686610648,3.3001711524999813,2.3,586.xyz,-1542.857331
5.06229872830146,13.670215797080163,6.806668029051152,2.56168492,13.670215797080163,2.7678317788255558,3.0,42.xyz,-1542.926861
4.955342573050471,13.007218082423046,6.735159064933362,2.501600279641188,13.007218082423046,2.523244485680078,2.4,142.xyz,-1543.034624
5.948329051403043,18.48426771,7.6423468405416575,2.5564945466462614,18.48426771,4.021114252109634,3.6,53.xyz,-1543.077008
4.29920679709456,12.622977386038995,5.8178060466899115,2.56060124,12.622977386038995,2.2565212565544406,3.1,556.xyz,-1543.283972
4.414221739043436,11.565009140738667,5.985587060741812,2.548435042549247,11.565009140738667,2.285175895248753,2.3,83.xyz,-1543.403591
4.414091609057558,11.564662657222518,5.98541326104892,2.548434491005957,11.564662657222518,2.2851015412913487,2.3,82.xyz,-1543.403592
4.088404501705918,9.87503759722022,5.544794348887004,2.52972336,9.87503759722022,2.11384841408678,3.7,309.xyz,-1543.449071
6.145076514849135,17.430720416801645,8.015503243271517,2.5582722292814837,17.430720416801645,3.9155169695163834,2.7,445.xyz,-1543.652431
4.457087682677314,14.389810736057932,5.889313748092886,2.54631584,14.389810736057932,2.6788305155521757,2.9,555.xyz,-1543.72135
4.62228328964723,13.43182724,6.214262666380918,2.567317427596891,13.43182724,2.529152388928012,3.1,483.xyz,-1544.125981
3.630118401907134,8.864960536061192,4.990017280932867,2.580931066143126,8.864960536061192,1.690390012578701,3.2,102.xyz,-1544.625769
4.691573577361085,12.909857355781341,6.262330722981939,2.5832670447769197,12.909857355781341,2.6757342826020922,3.2,757.xyz,-1544.632853
4.691344894937819,12.896553148097336,6.262062852414762,2.583700324490728,12.896553148097336,2.675515919650192,3.2,152.xyz,-1544.63298
5.7100861616265375,16.578704527251094,7.454409319408502,2.5445375800000014,16.578704527251094,3.6253604907676005,3.1,388.xyz,-1544.703547
4.878201343907449,14.291998015082994,6.5542046640045175,2.5629577727872723,14.291998015082994,2.6793306169935427,3.2,18.xyz,-1544.773777
3.6020196189419997,10.36990362,4.975230137111807,2.564037070000996,10.36990362,1.6048278679793737,2.8,907.xyz,-1544.788171
3.519261286239007,8.259747347068878,4.866226305459219,2.606432956165525,8.259747347068878,1.5513262694142613,3.6,868.xyz,-1544.800755
3.5194811039903473,8.260042083317412,4.866545575103167,2.6063814883088647,8.260042083317412,1.5513748604143796,3.6,859.xyz,-1544.800755
3.3607678416959326,8.96222926,4.6287048737546925,2.5630032099999998,8.96222926,1.5381764795269746,4.2,862.xyz,-1544.872016
3.3605986641148444,8.96150064,4.628480160142619,2.5628799000000004,8.96150064,1.538073968851989,4.2,808.xyz,-1544.872021
3.3541243550136075,8.93847926,4.619612812339429,2.5630514699999996,8.93847926,1.5349608231930127,4.2,863.xyz,-1544.881795
3.35412165515192,8.9383046,4.619615796798938,2.5629797200000004,8.9383046,1.5349393075520252,4.2,864.xyz,-1544.881795
3.354063645328381,8.9381125,4.619536926680242,2.5629392000000006,8.9381125,1.534909654791884,4.2,812.xyz,-1544.881795
3.354097188798513,8.93838234,4.619575795261141,2.56304435,8.93838234,1.5349471845377383,4.2,861.xyz,-1544.881796
3.3591178033381515,9.00752906,4.626421824822176,2.562763104830023,9.00752906,1.5374530155079331,4.2,56.xyz,-1544.882763
3.4292682981972766,9.34527308,4.713806413432109,2.6016212744626066,9.34527308,1.5972164159100604,4.2,899.xyz,-1544.889708
3.428867365561984,9.34277206,4.713339122747949,2.6018932022390584,9.34277206,1.5967809613818744,4.2,628.xyz,-1544.889726
3.428708194906678,9.3424484,4.713109963252309,2.6018497653467483,9.3424484,1.5967375873892478,4.2,810.xyz,-1544.889731
3.9257574241854196,10.368748322511625,5.309613583753929,2.551287392820118,10.368748322511625,2.06783022000885,3.3,913.xyz,-1544.911398
3.3608439554298903,8.97750208,4.627835238159531,2.5814543800000003,8.97750208,1.5411560779625781,4.2,630.xyz,-1544.933098
3.4054053640734283,9.23429972,4.683387965492623,2.60268571901127,9.23429972,1.579014056374292,4.2,809.xyz,-1545.009153
3.40557948386922,9.23445108,4.683653554939831,2.602809760233835,9.23445108,1.5790168900237604,4.2,855.xyz,-1545.009155
3.4055712414820505,9.2344935,4.683636118732166,2.6028201979370693,9.2344935,1.5790312593657838,4.2,811.xyz,-1545.009159
3.405608270306079,9.23485038,4.683670222074206,2.602794392910391,9.23485038,1.579098587506657,4.2,856.xyz,-1545.009163
3.4059497991448393,9.23646298,4.684115321216544,2.602731946743878,9.23646298,1.5793302924842785,4.2,857.xyz,-1545.009171
3.473124627704334,7.76930608,4.8206553167237765,2.5722959790427247,7.76930608,1.4722863336534913,2.7,89.xyz,-1545.073652
3.4731090426146043,7.76889932,4.820631894183388,2.5723122849250992,7.76889932,1.4722856209860828,2.7,91.xyz,-1545.073652
3.4731301977655935,7.76915014,4.820662634410686,2.5723019100000006,7.76915014,1.4722900558913439,2.7,90.xyz,-1545.073653
3.4730891481235355,7.76881748,4.820605187973956,2.5722251232302273,7.76881748,1.4722742017376393,2.7,92.xyz,-1545.073653
5.044667497746873,14.278227983167383,6.709115447287026,2.5223151400000003,14.278227983167383,2.9341488305221093,2.9,125.xyz,-1545.073909
3.3753281816696963,9.29489671881251,4.645701736234363,2.56477235,9.29489671881251,1.554057082224989,4.2,54.xyz,-1545.136936
